1	0:00	0:20	SS	SeleçãoSexual
2	0:21	0:40	TMA	Terra,Marear
3	0:41	1:00	DC	Diversidadedecores
4	1:01	1:17	DG	Diversidadegenética
5	1:17	1:50	TS	TeatrodosSentidos
6	1:51	2:05	AH	AnalogiaeHomologia
7	2:06	2:49	SA	SeleçãoArtificial
8	2:50	3:40	DF	Diversidadedeformas
9	3:41	4:00	CN	Comerenãosercomido
10	4:01	4:12	SN	SeleçãoNatural
11	4:13	4:28	ES	Especiação
12	4:29	5:04	GL	Globo
13	5:05	5:30	HA	Entradadoátrio/escadas
14	5:31	5:45	AT_I1	Átrio-Intermédio-1
15	5:46	6:23	AT_M	Átrio-Medicamentos
16	6:24	6:50	AT_CH	Átrio-Cheiros
17	6:51	7:18	AT_S	Átrio-Sementes
18	7:19	7:48	AT_I2	Átrio-Intermédio-2
19	7:49	8:07	AT_CA	Átrio-Cães
20	8:08	8:33	AT_O1	Átrio-Ovoide
21	8:34	8:58	AT_O2	Átrio-Ovos
